"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2014",0.716,
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2014",1.633,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2014",1.334,
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2014",,"M"
"CZE","EDUPUBEXP","TRY","PC_GDP","A","2014",0.983,
"DNK","EDUPUBEXP","TRY","PC_GDP","A","2014",1.608,
"FIN","EDUPUBEXP","TRY","PC_GDP","A","2014",1.717,
"FRA","EDUPUBEXP","TRY","PC_GDP","A","2014",1.212,
"DEU","EDUPUBEXP","TRY","PC_GDP","A","2014",1.059,
"HUN","EDUPUBEXP","TRY","PC_GDP","A","2014",0.659,
"ISL","EDUPUBEXP","TRY","PC_GDP","A","2014",1.176,
"IRL","EDUPUBEXP","TRY","PC_GDP","A","2014",0.828,
"ITA","EDUPUBEXP","TRY","PC_GDP","A","2014",0.727,
"JPN","EDUPUBEXP","TRY","PC_GDP","A","2014",0.524,
"KOR","EDUPUBEXP","TRY","PC_GDP","A","2014",,"M"
"MEX","EDUPUBEXP","TRY","PC_GDP","A","2014",1.053,
"NLD","EDUPUBEXP","TRY","PC_GDP","A","2014",1.231,
"NZL","EDUPUBEXP","TRY","PC_GDP","A","2014",0.924,
"NOR","EDUPUBEXP","TRY","PC_GDP","A","2014",1.611,
"POL","EDUPUBEXP","TRY","PC_GDP","A","2014",1.184,
"PRT","EDUPUBEXP","TRY","PC_GDP","A","2014",0.892,
"SVK","EDUPUBEXP","TRY","PC_GDP","A","2014",0.86,
"ESP","EDUPUBEXP","TRY","PC_GDP","A","2014",0.903,
"SWE","EDUPUBEXP","TRY","PC_GDP","A","2014",1.52,
"CHE","EDUPUBEXP","TRY","PC_GDP","A","2014",1.315,
"GBR","EDUPUBEXP","TRY","PC_GDP","A","2014",0.554,
"USA","EDUPUBEXP","TRY","PC_GDP","A","2014",0.931,
"BRA","EDUPUBEXP","TRY","PC_GDP","A","2014",,"M"
"CHL","EDUPUBEXP","TRY","PC_GDP","A","2014",,"M"
"EST","EDUPUBEXP","TRY","PC_GDP","A","2014",1.674,
"IND","EDUPUBEXP","TRY","PC_GDP","A","2014",,"M"
"IDN","EDUPUBEXP","TRY","PC_GDP","A","2014",,"M"
"ISR","EDUPUBEXP","TRY","PC_GDP","A","2014",0.861,
"RUS","EDUPUBEXP","TRY","PC_GDP","A","2014",,"M"
