"","country","exp_gdp","exp_gov","exp_pre_primary_pp","exp_pre_primary_pp_gdp_pc","exp_primary_pp","exp_primary_pp_gdp_pc","exp_secondary_pp","exp_secondary_pp_gdp_pc","exp_tertiary_pstudent","exp_tertiary_pstudent_gdp_pc","exp_textbook","teaching_compensation","iso3c"
"1","Armenia",2.8,10.7,1280,15.4,947,11.4,1221,15,833,10,NA,NA,"ARM"
"2","Azerbaijan",2.6,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
"3","Georgia",2,6.7,NA,NA,753,9.1,NA,NA,1215,14.6,NA,NA,"GEO"
"4","Kazakhstan",2.8,11.9,1555,6.3,NA,NA,4743,19.2,2806,11.3,NA,NA,"KAZ"
"5","Kyrgyzstan",5.5,16.1,916,27.3,NA,NA,NA,NA,187,5.6,NA,NA,"KGZ"
"6","Tajikistan",5.2,16.3,774,27.6,NA,NA,NA,NA,551,19.6,NA,NA,"TJK"
"7","Turkmenistan",3.1,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TKM"
"8","Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UZB"
"9","Eastern and South-eastern Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Brunei Darussalam",4.4,10,792,1,6894,9.1,18370,24.1,24805,32.6,NA,66.6,"BRN"
"11","Cambodia",1.9,9.1,138,4.2,217,6.6,NA,NA,NA,NA,10.1,47.5,"KHM"
"12","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN"
"13","DPR Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRK"
"14","Hong Kong. China",3.3,18.6,3393,6.2,8137,14.9,11123,20.4,12776,23.4,NA,NA,"HKG"
"15","Indonesia",3.6,20.5,290,2.7,1447,13.2,1146,10.5,3120,28.5,NA,81.8,"IDN"
"16","Japan",3.6,9.3,1729,4.4,8791,22.5,9333,23.9,9591,24.6,NA,NA,"JPN"
"17","Lao PDR",3.3,12.2,487,9.1,553,10.4,761,14.3,1236,23.2,1.6,81.3,"LAO"
"18","Macao. China",2,13.4,NA,NA,NA,NA,27312,18.9,23858,16.9,NA,NA,"MAC"
"19","Malaysia",5,19.7,1340,5,4309,16.1,4911,18.4,13453,50.4,2.3,56.8,"MYS"
"20","Mongolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MNG"
"21","Myanmar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MMR"
"22","Philippines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHL"
